N,retention,locality_absolute_gate,locality_margin_0.15
1,1.0,1.0,1.0
5,1.0,0.9667,0.9667
10,1.0,0.9333,1.0
25,1.0,0.9333,1.0
50,1.0,0.8667,1.0
100,1.0,0.7,0.9667
200,1.0,0.6333,1.0
400,0.995,0.5667,1.0
