method,ES,PS,NS,score,write_s,grad_steps
Base,0.02,0.0,1.0,0.0,,0
In-context/RAG,0.84,0.415,0.449,0.5148,0,0
ROME,0.995,0.755,0.6,0.7507,8.6186,20
CAKE v3,1.0,0.85,0.828,0.8865,,0
