method,ES,PS,NS,score,write_s,grad_steps
Base,0.2058,0.2063,1.0,0.2801,0.0,0
In-context/RAG,0.9383,0.8472,0.88,0.8869,0.0,0
Fine-tune,0.7923,0.7457,0.01,0.0292,6.6124,25
ROME,1.0,0.795,0.9564,0.9082,3.7789,20
MEMIT,0.2808,0.2436,0.9961,0.346,4.3682,100
CAKE v3 (multi-token),0.96,0.96,1.0,0.973,0.3401,0
